SuperWEB2(tm)

"Education"
"Geography 2016 by Highest level of education"
"Counting: Person adjusted"

Filters:
"Default Summation","Person adjusted"

"Summation Options","Geography 2016","Highest level of education","Count",
"Person adjusted","52502003 : Ward 3","grade 7/std 5/ABET 3",250.67602
"Person adjusted","52502003 : Ward 3","grade 8/std 6/form 1",485.58749
"Person adjusted","52502003 : Ward 3","grade 9/std 7/form 2/ABET 4",351.90886
"Person adjusted","52502003 : Ward 3","grade 10/std 8/form 3",761.99482
"Person adjusted","52502003 : Ward 3","grade 11/std 9/form 4",514.61587
"Person adjusted","52502003 : Ward 3","grade 12/std 10/form 5",2544.84359
"Person adjusted","52502003 : Ward 3","NTC I/N1/NIC/(V) Level 2",25.44384
"Person adjusted","52502003 : Ward 3","NTC II/N2/NIC/(V) Level 3",29.98285
"Person adjusted","52502003 : Ward 3","NTC III/N3/NIC/(V) Level 4",47.58199
"Person adjusted","52502003 : Ward 3","N4/NTC 4",43.98304
"Person adjusted","52502003 : Ward 3","N5/NTC 5",21.51267
"Person adjusted","52502003 : Ward 3","N6/NTC 6",34.52259
"Person adjusted","52502003 : Ward 3","certificate with less than grade 12/std 10",20.76138
"Person adjusted","52502003 : Ward 3","diploma with less than grade 12/std 10",25.57957
"Person adjusted","52502003 : Ward 3","certificate with grade 12/std 10",118.84066
"Person adjusted","52502003 : Ward 3","diploma with grade 12/std 10",226.1883
"Person adjusted","52502003 : Ward 3","Higher Diploma",236.9669
"Person adjusted","52502003 : Ward 3","Post Higher Diploma (Masters; Doctoral diploma)",81.56646
"Person adjusted","52502003 : Ward 3","bachelors degree",160.25866
"Person adjusted","52502003 : Ward 3","bachelors degree and Post graduate diploma",48.82598
"Person adjusted","52502003 : Ward 3","honours degree",47.81018
"Person adjusted","52502003 : Ward 3","higher degree (masters; doctorate)",22.30485
"Person adjusted","52502003 : Ward 3","other",62.37077
"Person adjusted","52502003 : Ward 3","no schooling",142.68112
"Person adjusted","52502003 : Ward 3","Unspecified",0
"Person adjusted","52502003 : Ward 3","Not applicable",758.03255
"Person adjusted","52502003 : Ward 3","Total",8181.52771
"Person adjusted","52502004 : Ward 4","grade 0",190.71259
"Person adjusted","52502004 : Ward 4","grade 1/sub A",98.579
"Person adjusted","52502004 : Ward 4","grade 2/sub B",97.51445
"Person adjusted","52502004 : Ward 4","grade 3/std 1/ABET 1/Kha Ri Gude; SANLI",90.02598
"Person adjusted","52502004 : Ward 4","grade 4/std 2",109.87835
"Person adjusted","52502004 : Ward 4","grade 5/std 3/ABET 2",134.97369
"Person adjusted","52502004 : Ward 4","grade 6/std 4",136.85566
