SuperWEB2(tm)

"Ward by Age Group Estimates"
"Ward 2022 by Age group"
"Counting: Population estimates"

Filters:
"Default Summation","Population estimates"

"Age group","0 - 4","5 - 9","10 - 14","15 - 19","20 - 24","25 - 29","30 - 34","35 - 39","40 - 44","45 - 49","50 - 54","55 - 59","60 - 64","65 - 69","70 - 74","75 - 79","80 - 84","85+","Total",
"Ward 2022",
"52502012",1653.1194159,1628.3386375,1607.3175804,1567.289958,1372.7129892,1335.9856476,1257.036144,1178.4120587,780.5798262,648.6690378,462.5659343,457.3548558,328.35277,293.2749351,168.8555054,106.4946555,55.5770345,52.1343711,14954.0713571,
"52502013",873.7809851,906.3635881,912.2922631,884.0548951,793.5827329,891.1965571,902.9467501,806.0420612,510.5894099,427.1642101,351.601207,301.455257,240.4618664,227.1175651,177.056,113.8329207,63.7327974,41.794411,9425.0654772,
"52502014",1892.1490711,1609.7744355,1678.4522879,1546.0891728,1765.3027077,1801.7941325,1655.7239687,1578.0979488,1045.2814631,767.6486612,616.4043886,656.3107281,594.2944252,441.0508368,216.279883,88.3192557,42.8453811,40.7427176,18036.5614654,
"52502015",2091.6584471,1947.8793595,2054.7947603,1935.5806091,1618.4280845,1899.0140921,1542.8212198,1331.49985,989.8885101,769.2782761,623.4947328,538.4858629,489.9565711,414.7612722,254.480577,139.7771671,79.5436515,48.083605,18769.4266481,
"52502016",1843.7918335,1702.5077996,1744.6741125,1706.2605735,1534.4359401,1752.2333292,1542.3873118,1314.2722435,1003.8297428,764.0639038,556.7732615,545.973516,450.8183011,374.2331411,152.4532104,128.1990799,65.1222912,56.520729,17238.5503205,
"52502017",1618.7909568,1502.6099548,1539.607343,1546.3938528,1502.4984016,1575.809749,1448.08785,1213.3809878,955.5515366,718.7730236,570.6503824,560.1607929,514.7273318,419.5827496,279.5802305,158.7286653,80.4777029,74.4128616,16279.8243731,
"52502018",1610.7991132,1476.8353928,1511.666635,1483.90042,1436.5617674,1590.4880705,1338.6520517,1130.5728365,799.8177758,642.303739,501.4354,465.6504879,451.2038204,371.748468,179.6669989,98.2278697,65.2503059,34.3907239,15189.1718766,
"52502019",1325.054462,1204.5704258,1226.0707306,1186.6431955,1359.8600692,1451.7595816,1348.7897655,1208.4885896,952.8318763,639.7590822,448.8421905,465.891303,443.1188344,435.3859773,167.7321016,62.7412524,48.5778556,26.6394692,14002.7567623,
"52502020",1409.5702513,1194.2254023,1286.3045717,1204.0648068,1342.937159,1470.9096132,1398.8885387,1144.8642536,900.6519092,699.1100433,501.9901679,372.3041461,354.7524249,243.0095749,184.9092568,117.52707,50.1448832,47.010828,13923.1749008,
"52502021",1898.4146422,1726.1322979,1883.0641229,1962.906922,2026.6447298,2055.7311969,1791.7615039,1625.3440786,1363.8946278,1040.9495352,880.4475501,764.5768752,576.051962,365.553583,255.1107013,150.9320749,66.0597099,69.805518,20503.3816316,
"52502022",756.6275696,786.7299036,919.4058798,1057.3803166,1316.6482094,1151.3100254,1028.7558487,921.2326582,682.078944,512.1698657,569.654956,399.3644451,269.7914193,204.0063343,101.8868682,78.35138,57.9800212,34.4746072,10847.8492523,
"52502023",1045.8580702,1092.6869002,1252.2453036,1298.7682033,1405.6323803,1553.5686979,1388.3919342,1230.4903705,965.3273074,728.5514338,583.7174784,458.0740075,398.8409518,347.9402756,274.2599042,156.1344149,121.0940976,75.6803714,14377.2621029,
"52502024",921.6350154,963.8040224,1035.9109721,1184.1201871,2281.9789931,1456.069761,1025.4620689,992.0947593,769.744187,556.8882865,463.4013939,400.1165097,334.227992,286.005327,178.7915175,120.6611252,86.186518,54.9061144,13112.0047505,
"52502025",599.4359663,651.2642053,685.6372546,595.8182223,684.2435017,768.4790522,980.7054059,977.5506462,755.6812242,501.5604647,454.6769265,422.8942546,363.9811267,331.5483198,183.8739253,153.0665642,63.0955142,54.9233221,9228.4358968,
"52502026",1385.8516383,1313.7386365,1420.7495289,1428.1928594,1476.9641838,1570.5280707,1633.3878948,1449.4779055,1023.0447343,629.0007578,486.5616998,475.451609,491.900171,418.8174082,236.8316871,89.4107958,47.010828,29.8035986,15606.7240075,
"52502027",1430.9461289,1315.0324127,1336.3347338,1364.7745917,1379.3453628,1488.732734,1426.4517077,1275.8156372,899.6342047,625.6404705,508.9853984,461.0085831,542.9734792,527.4779485,281.6185974,139.5556791,73.6502972,50.1448832,15128.12285,
"52502028",785.3715487,754.8229474,797.0566374,1006.9782083,1703.2618664,1177.5479079,954.511982,823.2721903,657.5648723,525.3725883,355.2578152,299.0528095,246.414298,241.5026957,307.2877807,148.9277704,78.35138,36.5772707,10899.1325692,
"52502029",1119.9048788,1110.7597312,1192.1294336,1059.6294373,1186.5313044,1216.9747179,1189.689737,1029.7852809,767.8771734,519.0794669,437.5495543,425.9877451,442.6235644,421.5158561,207.5637244,61.1140764,34.5046814,26.6394692,12449.8598326,
"52502030",1375.0141233,1185.6428627,1299.5569745,1250.45295,1116.7034848,1155.5531825,1041.066915,986.8620944,693.8081891,565.6614931,469.6280835,403.7806897,318.0320722,241.5472879,194.8294511,100.8798352,64.0690852,53.3667664,12516.4555407,
"52502031",1687.7545774,1502.8636888,1613.365622,1437.3903843,1485.386357,1480.0063658,1402.111634,1217.0915041,1010.0643175,736.9887521,575.3858092,586.0223485,439.6136582,345.4559442,196.527292,88.2624996,43.6729734,46.9640651,15894.9277933,
"52502032",1948.9773852,1598.0553075,1678.4475202,1851.1523972,1770.7527208,1706.5985198,1650.380286,1466.8912241,1007.5446207,784.6031837,607.7786144,616.1352142,596.256626,409.3771083,221.1134154,136.3388946,81.489914,62.6845492,18194.5775013,
"52502033",2745.5625257,2559.2553264,2709.1698378,2410.3846614,2035.7724328,1949.6482369,1703.7062426,1526.435863,1162.450029,974.0886496,734.0299227,725.7004725,530.4962598,438.6182984,221.1956778,126.5774725,83.8645407,33.2061775,22670.1626271,
"52502034",1478.3215363,1282.3640252,1507.6815147,1515.9211394,1638.6705847,1736.4814829,1827.1956867,1679.7545455,1427.1975508,1129.1310624,849.2912573,768.6285658,600.5848392,477.8150965,309.6891096,305.1802973,212.0899226,122.2761402,18868.2743571,
"Total",48050.4587899,45174.4808163,47967.7581236,47112.3618898,47954.9336377,47794.6173794,44863.6167921,40986.152393,31253.2544892,23631.3420048,19316.3276431,17924.6760777,15806.5147573,12859.331841,7943.1001615,4636.8300237,2659.9827386,1774.5398509,507710.2794096,


(c) Copyright Statistics South Africa
