dataset,category,value
education_level,N5/NTC 5,13.38793
education_level,N6/NTC 6,10.8507
education_level,certificate with less than grade 12/std 10,1.21825
education_level,diploma with less than grade 12/std 10,0.0
education_level,certificate with grade 12/std 10,24.98982
education_level,diploma with grade 12/std 10,33.97365
education_level,Higher Diploma,22.45568
education_level,Post Higher Diploma (Masters; Doctoral diploma),5.89627
education_level,bachelors degree,7.20328
education_level,bachelors degree and Post graduate diploma,1.21825
education_level,honours degree,2.2094
education_level,higher degree (masters; doctorate),1.21825
education_level,other,5.9826
education_level,no schooling,728.00715
education_level,Unspecified,0.0
education_level,Not applicable,1797.72473
education_level,Total,24737.613
educational_institution,Pre-School,18.09744
educational_institution,School,4448.79002
educational_institution,Special School,16.2867
educational_institution,Further Education and Training,189.5681
educational_institution,Other College,28.38902
educational_institution,Higher Educational Institution,60.9359
educational_institution,Adult Basic Education and Training Centre,54.7121
educational_institution,Literacy classes,8.04503
educational_institution,Home based education/home schooling,16.36105
educational_institution,Unspecified,0.0
educational_institution,Not applicable,7527.62114
educational_institution,Total,24737.613
employment_status,Employed,1007.89981
employment_status,Unemployed,1537.14129
employment_status,Discouraged work-seeker,752.573
employment_status,Other not economically active,3683.15908
employment_status,Unspecified,0.0
employment_status,Not applicable,5388.03332
employment_status,Total,12368.8065
energy_lighting,Electricity,1685.50856
energy_lighting,Gas,11.75914
energy_lighting,Paraffin,68.87859
energy_lighting,Candles,888.31944
energy_lighting,Solar,5.6518
energy_lighting,Other,0.0
energy_lighting,None,5.5996
energy_lighting,Unspecified,12.75823
energy_lighting,Not applicable,0.0
energy_lighting,Total,2678.47536
household_income,No income,527.05454
household_income,R 1 - R 4800,165.26747
household_income,R 4801 - R 9600,341.26243
household_income,R 9601 - R 19200,642.1179
household_income,R 19201 - R 38400,622.476
household_income,R 38401 -  R 76800,230.65331
household_income,R 76801 - R 153600,90.15901
household_income,R 153601 - R 307200,37.08883
household_income,R 307201 - R 614400,17.19305
household_income,R 614401- R 1228800,2.09916
household_income,R 1228801 - R 2457600,1.02295
household_income,R2457601 or more,1.08071
household_income,Unspecified,0.0
household_income,Not applicable,1.0
