SuperWEB2(tm)

"Parental Survival"
"Age in completed years by Geography 2016 by Father alive then Mother Alive"
"Counting: Person adjusted"

Filters:
"Default Summation","Person adjusted"

" 0"
"Father alive then Mother Alive","No","No",
"52502028 : Ward 28",14.58211,6.07115,
"52502029 : Ward 29",37.64113,15.78499,
"52502030 : Ward 30",44.53825,26.31274,
"52502031 : Ward 31",36.51132,14.60292,
"52502032 : Ward 32",29.14152,13.35653,
"52502033 : Ward 33",32.44821,14.61096,
"52502034 : Ward 34",16.58211,10.72519,
"Total",796.23227,354.34218,


" 4"
"Father alive then Mother Alive","No","No",
"Geography 2016",
"52502001 : Ward 1",33.92534,18.56946,
"52502002 : Ward 2",2.42846,0,
"52502003 : Ward 3",4.18295,0,
"52502004 : Ward 4",4.87962,0,
"52502005 : Ward 5",18.21345,3.64269,
"52502006 : Ward 6",48.73,24.365,
"52502007 : Ward 7",27.99161,15.81715,
"52502008 : Ward 8",33.99844,13.35653,
"52502009 : Ward 9",30.38389,15.81313,
"52502010 : Ward 10",16.99922,7.28538,
"52502011 : Ward 11",41.28382,16.99922,
"52502012 : Ward 12",20.69819,7.3095,
"52502013 : Ward 13",24.2846,9.71786,
"52502014 : Ward 14",35.21267,16.99922,
"52502015 : Ward 15",42.63875,12.1825,
"52502016 : Ward 16",41.38834,15.83323,
"52502017 : Ward 17",40.06548,25.49472,
"52502018 : Ward 18",24.3449,12.17848,
"52502019 : Ward 19",31.92729,10.71384,
"52502020 : Ward 20",33.99844,20.64191,
"52502021 : Ward 21",25.15765,9.67729,
"52502022 : Ward 22",25.49883,12.1423,
"52502023 : Ward 23",35.18042,16.96697,
"52502024 : Ward 24",23.07037,20.64191,
"52502025 : Ward 25",9.58678,2.42846,
"52502026 : Ward 26",18.21345,16.99922,
"52502027 : Ward 27",23.07037,13.35653,
"52502028 : Ward 28",23.07037,7.28538,
"52502029 : Ward 29",40.06959,23.07037,
"52502030 : Ward 30",36.23277,19.43572,
"52502031 : Ward 31",37.72555,15.82117,
"52502032 : Ward 32",30.35575,15.79634,
