SuperWEB2(tm)

"Parental Survival"
"Age in completed years by Geography 2016 by Father alive then Mother Alive"
"Counting: Person adjusted"

Filters:
"Default Summation","Person adjusted"

" 0"
"Father alive then Mother Alive","No","No",
"52502010 : Ward 10",46.29534,29.6765,
"52502011 : Ward 11",85.46832,48.66946,
"52502012 : Ward 12",92.96032,54.62254,
"52502013 : Ward 13",58.1381,43.8377,
"52502014 : Ward 14",124.6413,67.66242,
"52502015 : Ward 15",89.25994,56.80178,
"52502016 : Ward 16",132.3738,92.84896,
"52502017 : Ward 17",133.60882,84.00286,
"52502018 : Ward 18",79.24456,46.75856,
"52502019 : Ward 19",76.97057,35.6118,
"52502020 : Ward 20",74.78478,42.73416,
"52502021 : Ward 21",86.78237,37.72691,
"52502022 : Ward 22",62.91418,33.23768,
"52502023 : Ward 23",84.28126,47.4824,
"52502024 : Ward 24",89.0295,59.353,
"52502025 : Ward 25",25.5991,14.20203,
"52502026 : Ward 26",94.59068,60.353,
"52502027 : Ward 27",78.34596,52.23064,
"52502028 : Ward 28",62.91418,39.17298,
"52502029 : Ward 29",80.72008,49.85652,
"52502030 : Ward 30",105.81314,54.99228,
"52502031 : Ward 31",91.31004,52.69386,
"52502032 : Ward 32",103.27422,64.10124,
"52502033 : Ward 33",99.8121,60.28726,
"52502034 : Ward 34",56.15959,22.18002,
"Total",2626.70829,1556.79108,


" 17"
"Father alive then Mother Alive","No","No",
"Geography 2016",
"52502001 : Ward 1",83.56914,38.96355,
"52502002 : Ward 2",35.86506,10.73313,
"52502003 : Ward 3",12.28772,4.61122,
"52502004 : Ward 4",18.80082,7.12236,
"52502005 : Ward 5",39.28854,27.41794,
"52502006 : Ward 6",122.7181,68.23476,
"52502007 : Ward 7",98.04264,52.47114,
"52502008 : Ward 8",58.16594,43.92122,
"52502009 : Ward 9",91.81116,49.60596,
"52502010 : Ward 10",71.2236,51.04358,
"52502011 : Ward 11",71.2236,46.29534,
"52502012 : Ward 12",109.55132,54.5947,
"52502013 : Ward 13",67.56861,48.64162,
"52502014 : Ward 14",134.13778,75.97184,
"52502015 : Ward 15",126.35498,70.71242,
"52502016 : Ward 16",143.00166,90.66972,
"52502017 : Ward 17",138.13434,102.7281,
"52502018 : Ward 18",80.40378,62.75984,
"52502019 : Ward 19",89.28126,52.23064,
"52502020 : Ward 20",93.77774,64.10124,
"52502021 : Ward 21",75.23845,40.82393,
"52502022 : Ward 22",71.21852,45.1032,
"52502023 : Ward 23",89.02442,62.91418,
"52502024 : Ward 24",74.8233,49.89504,
"52502025 : Ward 25",36.65168,14.1077,
"52502026 : Ward 26",113.7707,47.4824,
"52502027 : Ward 27",91.40362,66.47536,
"52502028 : Ward 28",78.34088,52.23064,
"52502029 : Ward 29",102.08716,73.59772,
"52502030 : Ward 30",99.80214,44.5593,
"52502031 : Ward 31",77.2602,45.62718,
"52502032 : Ward 32",90.21656,48.66946,
"52502033 : Ward 33",110.47682,65.86846,
"52502034 : Ward 34",47.15787,27.0053,
"Total",2842.68011,1707.19019,


" 18"
"Father alive then Mother Alive","No","No",
"Geography 2016",
"52502001 : Ward 1",61.67133,54.10207,
"52502002 : Ward 2",23.84038,10.76058,
"52502003 : Ward 3",17.83297,5.84188,
"52502004 : Ward 4",16.09618,4.78676,
"52502005 : Ward 5",77.20849,30.90208,
"52502006 : Ward 6",107.80746,77.66774,
"52502007 : Ward 7",94.56498,66.54882,
"52502008 : Ward 8",77.1589,40.36004,
"52502009 : Ward 9",108.47552,67.20682,
"52502010 : Ward 10",61.72712,48.66946,
"52502011 : Ward 11",86.65538,58.16594,
"52502012 : Ward 12",98.89562,55.75392,
"52502013 : Ward 13",72.32714,48.58594,
"52502014 : Ward 14",117.51894,73.59772,
"52502015 : Ward 15",128.67342,64.91632,
"52502016 : Ward 16",130.13888,76.64772,
"52502017 : Ward 17",120.86808,89.93816,
"52502018 : Ward 18",107.20504,57.24722,
"52502019 : Ward 19",83.34088,39.17298,
"52502020 : Ward 20",99.71304,66.47536,
"52502021 : Ward 21",67.93116,48.42363,
"52502022 : Ward 22",62.91418,42.73416,
"52502023 : Ward 23",91.40362,77.1589,
"52502024 : Ward 24",110.39658,66.47536,
"52502025 : Ward 25",27.51212,11.54652,
"52502026 : Ward 26",122.08012,61.54006,
"52502027 : Ward 27",80.72008,55.79182,
"52502028 : Ward 28",80.72008,51.04358,
"52502029 : Ward 29",97.33892,61.72712,
"52502030 : Ward 30",106.72962,57.7205,
"52502031 : Ward 31",112.4544,61.93978,
"52502032 : Ward 32",103.27422,59.353,
"52502033 : Ward 33",121.22824,66.972,
"52502034 : Ward 34",67.64604,36.83738,
"Total",2944.06913,1796.61134,


" Total"
"Father alive then Mother Alive","No","No",
"Geography 2016",
"52502001 : Ward 1",896.53331,597.44294,
"52502002 : Ward 2",207.46912,98.92779,
"52502003 : Ward 3",133.39828,36.14455,
"52502004 : Ward 4",147.71061,78.70384,
"52502005 : Ward 5",479.68557,220.35586,
"52502006 : Ward 6",1268.58124,737.94997,
"52502007 : Ward 7",1103.72149,603.80334,
"52502008 : Ward 8",1019.12968,552.9452,
"52502009 : Ward 9",1108.08271,553.34566,
"52502010 : Ward 10",748.26377,473.04762,
"52502011 : Ward 11",878.5296,532.99836,
"52502012 : Ward 12",1023.68846,510.31813,
"52502013 : Ward 13",780.73885,510.60735,
"52502014 : Ward 14",1463.71588,770.20435,
"52502015 : Ward 15",1275.76844,733.32429,
"52502016 : Ward 16",1542.49143,903.36324,
"52502017 : Ward 17",1300.00724,819.40087,
"52502018 : Ward 18",921.25953,533.42618,
"52502019 : Ward 19",874.33229,447.88705,
"52502020 : Ward 20",946.14218,539.15102,
"52502021 : Ward 21",775.34217,447.71139,
"52502022 : Ward 22",751.8963,411.28317,
"52502023 : Ward 23",923.20824,655.16313,
"52502024 : Ward 24",925.28291,581.59766,
"52502025 : Ward 25",305.48112,121.2249,
"52502026 : Ward 26",1175.68982,685.33688,
"52502027 : Ward 27",875.49655,546.02885,
"52502028 : Ward 28",832.51524,484.56003,
"52502029 : Ward 29",1109.69318,663.25734,
"52502030 : Ward 30",1263.8414,655.26775,
"52502031 : Ward 31",1156.46132,561.8258,
"52502032 : Ward 32",1149.0706,594.58635,
"52502033 : Ward 33",1269.19702,633.87703,
"52502034 : Ward 34",634.11289,319.37836,
"Total",31266.53844,17614.44625,


(c) Copyright Statistics South Africa
