SuperWEB2(tm)

"Household Head"
"Geography 2016 by Age of head of the HOUSE"
"Counting: household adjusted"

Filters:
"Default Summation","household adjusted"

"Age of head of the HOUSE","0","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","Unspecified","Not applicable","Total",
"Geography 2016",
"52502009 : Ward 9",0,14.38777,0,1.08071,0,0,3.04949,9.22559,9.00746,14.9245,19.37799,24.80655,18.32983,24.83919,52.96586,33.09427,52.91226,48.22872,52.859,46.91877,54.68537,68.56182,74.8591,52.41685,55.25715,69.66517,77.14078,80.36977,74.19522,97.9126,80.96047,71.68484,77.56799,63.01572,75.44103,48.7249,82.95834,52.94532,64.89301,75.76189,68.14964,86.74203,62.55099,72.65171,72.26167,53.93108,58.17909,64.7236,53.91066,42.61165,56.15913,39.53725,42.94525,39.20161,34.47352,23.01559,14.97176,12.59514,15.97701,8.74386,24.58623,21.78663,33.58734,16.5106,16.30001,9.74001,10.9909,7.74301,4.35252,13.26676,4.38516,5.96998,12.12222,4.73229,8.55534,2.27264,4.4223,1.08071,1.08071,0,2.15692,1.08071,2.12428,2.3304,2.2134,0,2.88051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2964.62912,
"52502010 : Ward 10",0,9.56207,0,0,1.24969,2.12428,2.49938,1.04357,9.51009,8.90657,13.18118,8.97949,13.79623,23.62243,16.21711,11.87484,26.91617,25.50668,25.38042,32.49645,29.43348,34.12125,21.54638,25.37576,23.43394,31.35774,24.77088,32.5754,22.16195,27.0493,25.91194,44.64747,32.19375,34.09571,38.78763,32.8516,37.37219,33.44201,27.08313,41.45592,29.56488,33.82134,60.35337,50.2831,46.67979,42.85876,40.93784,43.02318,47.68299,32.69974,38.44863,39.29075,45.0471,37.88376,33.63097,32.09861,26.09712,19.34918,35.25162,27.22981,8.74218,26.72709,16.11451,18.94862,18.03311,15.28731,23.52956,16.35498,15.54677,9.35731,8.557,1.24969,12.4532,7.60949,11.0206,2.17626,2.12428,7.82865,2.17626,1.04357,4.38966,1.24969,1.04357,0,3.21983,2.17626,1.04357,0,0,0,1.04357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1853.81321,
"52502011 : Ward 11",0,15.44656,3.25697,2.12428,2.26538,2.3304,1.24969,4.1302,4.96765,9.73105,9.17393,12.37756,20.7698,20.07022,18.56107,26.48667,28.15697,22.78167,35.60862,47.30529,37.70887,44.25113,38.18319,40.52986,27.57303,32.06154,49.6955,38.2473,59.45519,30.11822,52.9561,38.08985,44.57591,50.02082,36.44375,49.90616,35.35323,28.87779,36.00777,48.16904,46.26392,43.81321,44.50298,43.4549,57.33282,37.94739,40.87704,42.91768,42.88844,49.76168,38.65986,35.82494,31.05084,35.1722,34.66338,27.65366,25.66078,29.50544,31.01459,25.43512,16.92966,20.73071,18.57811,13.16762,18.38547,12.69414,19.22292,10.98346,14.67218,14.55518,14.28782,6.39558,8.29287,11.92171,10.31176,6.8519,4.38966,3.25697,6.15232,0,1.24969,2.17626,2.93249,0,2.2134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2109.77098,
"52502012 : Ward 12",0,14.47626,3.17537,1.08071,2.3304,3.35335,4.27542,4.55864,10.84593,6.23386,13.02202,13.66851,20.17507,17.70303,23.01125,35.46658,24.61082,27.7443,16.98754,23.1914,27.44806,30.20845,27.55205,25.04669,26.63003,27.42587,30.2361,38.8067,41.05935,23.90465,32.58292,33.61196,30.36121,27.55492,29.39,33.29694,29.11527,42.44017,40.81588,45.48576,27.56792,42.09545,30.25303,36.51821,39.52555,40.01822,27.99051,43.39908,40.75456,39.793,45.86913,28.56389,41.11506,41.01712,31.20808,41.06182,30.20401,19.0455,23.74037,30.52454,31.84198,20.86886,14.35589,21.80569,19.02742,14.02087,13.66981,7.70863,10.06005,11.81695,7.01071,10.01004,12.77724,6.48882,7.55182,8.99435,5.62149,2.2134,5.41537,1.7998,0,5.17251,4.31854,1.02295,2.3304,0,0,2.0459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1857.09798,
"52502013 : Ward 13",0,14.35471,1.04357,1.7998,2.12428,0,1.24969,2.93249,1.04357,2.93249,5.43187,12.5986,15.02071,8.27524,17.39736,6.97357,18.6734,23.45345,17.33496,24.14853,26.32003,18.8674,26.29682,29.35046,26.34549,24.90739,31.72503,31.08971,23.60564,28.56743,32.80771,29.32964,33.75019,33.21132,24.34703,30.06804,30.79674,30.42144,29.04614,29.25405,24.72907,23.98074,39.04837,32.70305,24.63426,31.97,37.96882,31.60565,31.24469,47.02981,38.94313,36.71741,45.05317,37.70023,31.75435,33.60375,30.17156,27.64481,27.82914,34.74001,23.70548,22.20092,28.44601,22.44443,22.66981,9.38519,17.80245,7.05802,16.25497,15.9172,23.06,7.81561,17.93429,16.83819,9.10244,3.21983,7.50553,2.08714,3.34609,0,2.3304,1.04357,4.30054,1.08071,3.25697,0,1.04357,0,0,0,0,0,0,0,0,0,1.13269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1706.95006,
"52502014 : Ward 14",0,16.50309,1.7998,0,1.24969,5.26289,0,7.69725,7.78178,21.61056,22.77572,19.05912,35.05112,43.27446,44.55941,61.35864,72.04881,101.4321,82.92965,121.77482,100.88658,71.21679,102.03142,99.66605,85.49344,104.14447,120.19546,97.10596,86.53415,94.85618,108.07449,101.90976,79.28344,107.54309,112.04439,68.50874,103.22433,89.32307,100.19059,139.00971,106.70221,99.65301,82.36452,91.60957,106.15541,80.88831,73.96111,91.50175,84.32772,67.00624,63.86395,61.67881,43.20374,47.45509,35.82494,30.85398,29.89825,30.12516,14.86482,26.11663,35.584,14.54592,34.82318,18.61389,13.69363,15.83554,18.587,9.44643,9.56343,16.1234,7.38717,8.62202,13.38535,12.37892,5.58737,7.48654,5.26289,3.16785,2.16142,0,3.88694,6.24144,0,0,0,0,1.24969,1.08071,0,1.04357,0,0,0,1.13269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4172.35723,
"52502015 : Ward 15",0,5.20641,1.07621,0,1.07621,0,7.55182,5.20641,10.96293,16.30007,15.4596,24.01036,18.68358,24.20901,33.80107,21.90185,25.14099,28.78804,33.42444,46.1004,37.5461,44.43563,41.24661,55.29696,42.21326,36.78426,43.86208,56.76342,44.20889,40.4253,52.57,47.52814,54.43423,57.3524,46.33641,36.47459,42.81994,54.06757,48.22178,58.48627,57.04545,40.57504,58.07584,42.73211,49.54444,57.89252,57.6079,53.39123,50.3272,50.55394,63.22004,41.20336,43.94872,46.0371,51.66759,42.50597,39.68752,28.08292,38.20189,39.21134,28.37313,27.70614,20.5221,26.53345,19.88436,7.9759,25.13429,19.41718,18.4805,6.36444,10.2542,9.65083,13.08595,13.18231,10.20094,1.07621,3.12211,4.97967,4.26058,1.08071,3.52233,1.02295,2.16142,1.07621,2.3259,1.02295,0,1.08071,0,0,1.08071,0,0,1.24969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2497.31323,
"52502016 : Ward 16",0,11.55599,2.09916,2.0459,4.1257,2.88051,5.87224,5.09539,10.22918,10.5773,18.85721,20.75612,24.06812,34.29268,29.38862,32.985,23.56212,47.48062,35.26202,47.15955,64.56944,50.6978,64.20981,44.28267,47.74537,54.82407,59.16104,65.1575,58.64504,46.4091,39.89293,49.13478,43.64552,55.2886,59.89957,33.21508,53.99012,64.9576,69.22801,67.79946,65.6675,53.76017,62.69956,65.37726,75.95305,42.72959,52.48606,85.3093,54.14698,46.65095,54.10318,37.7157,48.51365,40.477,47.43749,41.8668,47.79204,37.62503,39.23945,38.29981,36.38461,43.38597,45.63098,30.88003,20.22689,21.36104,19.82685,18.12358,18.62154,13.03269,15.99443,10.05105,11.03877,3.89896,16.83812,3.17987,8.502,2.15242,5.14865,2.09916,3.14723,4.3763,2.09916,1.02295,1.7998,1.24969,0,1.08071,1.08071,0,0,0,2.0459,1.07621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2864.25378,
"52502017 : Ward 17",0,16.44678,2.26538,3.95544,1.04357,4.64317,8.0219,5.34275,7.71029,12.25597,22.39748,22.27401,18.06131,31.31015,22.68796,30.2994,38.1148,38.78824,39.18205,45.38905,42.46934,48.72119,44.89767,50.26824,58.69865,38.35063,41.89402,53.93301,49.1356,58.76863,53.62338,35.3965,53.74767,50.43855,51.16626,60.99588,47.34729,59.8681,44.65979,53.00043,60.3447,45.38921,48.03148,63.15265,54.66969,44.77939,46.53743,55.79578,52.4145,56.21743,56.14435,54.8747,69.51635,62.46365,57.54008,43.13889,33.77354,27.55864,32.91687,34.59009,32.1368,34.50129,45.8338,25.5074,30.06917,17.32256,32.54708,15.48901,25.82566,16.81967,13.24315,13.72313,22.47562,9.80091,4.41754,8.8031,8.97618,2.15564,2.12428,1.24969,7.48654,1.04357,0,6.4946,3.30895,0,1.13269,0,2.2134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2752.12138,
"52502018 : Ward 18",0,10.95843,3.17987,0,3.95222,2.87601,1.07621,3.18437,1.7998,5.37539,10.29582,8.27541,19.81305,9.7712,17.49615,20.17339,25.57857,19.53041,20.83499,27.2227,32.47829,21.26182,33.98006,27.37407,37.03109,33.62682,31.61647,39.31842,32.21555,37.15808,27.99965,16.53099,36.49158,40.50871,45.81353,36.94954,34.53902,22.35264,45.43358,33.75619,36.60517,34.71175,27.67512,31.6556,37.99874,39.01785,39.77358,44.58221,45.60387,53.21059,40.71668,29.35417,27.14669,29.43146,32.06706,24.85656,19.66024,16.45653,20.19008,26.23396,13.74839,31.02497,21.00392,8.73608,17.10456,15.37021,6.6578,10.6813,8.61586,6.34644,4.97967,5.30287,8.2944,5.11475,4.26508,5.20641,3.23763,0,3.92408,2.17626,1.7998,2.82275,1.02295,3.31621,1.02295,1.08071,0,0,1.04357,1.02295,1.04357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1730.74414,
